TABLE UD- Livello 1 ;Liv 2;Liv 3;Liv 4;Liv 5;Liv 6;Liv 7;Liv 8;Liv 9;Liv 10;Columns;FK Name;R Table
ARO_UNITA_DOC;ARO_ARCHIV_SEC;;;;;;;;;ID_UNITA_DOC;FK_ARC_SEC_UNI_DOC;ARO_UNITA_DOC
;ARO_COMP_DOC;;;;;;;;;ID_UNITA_DOC_RIF;FK_COMP_DOC_UNI_DOC;ARO_UNITA_DOC
;;VOL_APPART_COMP_VOLUME;;;;;;;;ID_COMP_DOC;FK_APP_COMP_VOL_COMP_DOC;ARO_COMP_DOC
;;;VOL_APPART_FIRMA_VOLUME;;;;;;;ID_APPART_COMP_VOLUME;FK_APP_FIR_VOL_APP_FIL_VOL;VOL_APPART_COMP_VOLUME
;;;;VOL_VERIF_FIRMA_VOLUME;;;;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;;;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;ARO_BUSTA_CRITTOG;;;;;;;;ID_COMP_DOC;FK_BUSTA_CRIT_COMP_DOC;ARO_COMP_DOC
;;;ARO_FIRMA_COMP;;;;;;;ID_BUSTA_CRITTOG;FK_FIR_COMP_BUSTA_CRIT;ARO_BUSTA_CRITTOG
;;;;VOL_APPART_FIRMA_VOLUME;;;;;;ID_FIRMA_COMP;FK_APP_FIR_VOL_FIR_FIL;ARO_FIRMA_COMP
;;;;;VOL_VERIF_FIRMA_VOLUME;;;;;ID_APPART_FIRMA_VOLUME;FK_VER_FIR_VOL_APP_FIR_VOL;VOL_APPART_FIRMA_VOLUME
;;;;;;VOL_CONTR_VERIF_FIRMA_VOLUME;;;;ID_VERIF_FIRMA_VOLUME;FK_CTR_VER_FIR_VOL_VER_FIR_VOL;VOL_VERIF_FIRMA_VOLUME
;;;;ARO_CONTROFIRMA_FIRMA;;;;;;ID_FIRMA_FIGLIO;FK_CONTFIR_FIR_FIGLIO;ARO_FIRMA_COMP
;;;;ARO_CONTROFIRMA_FIRMA;;;;;;ID_FIRMA_PADRE;FK_CONTFIR_FIR_PADRE;ARO_FIRMA_COMP
;;;;ARO_CONTR_FIRMA_COMP;;;;;;ID_FIRMA_COMP;FK_CTR_FIR_COMP_FIR_COMP;ARO_FIRMA_COMP
;;;;;ARO_USO_CERTIF_CA_CONTR_COMP;;;;;ID_CONTR_FIRMA_COMP;FK_CA_CTR_CTR_FIR_COMP;ARO_CONTR_FIRMA_COMP
;;;;ARO_VERIF_FIRMA_DT_VERS;;;;;;ID_FIRMA_COMP;FK_VER_FIR_DTVERS_FIR_COMP;ARO_FIRMA_COMP
;;;;;ARO_CONTR_VERIF_FIRMA_DT_VERS;;;;;ID_VERIF_FIRMA_DT_VERS;FK_CTR_VER_FIR_DTVERS;ARO_VERIF_FIRMA_DT_VERS
;;;ARO_MARCA_COMP;;;;;;;ID_BUSTA_CRITTOG;FK_MRK_COMP_BUSTA_CRIT;ARO_BUSTA_CRITTOG
